season,week,game_id,team,sack_rate_roll6,qb_hit_rate_roll6,tfl_rate_roll6
2016,1,2016_01_NE_ARI,ARI,,,
2016,2,2016_02_TB_ARI,ARI,,,
2016,3,2016_03_ARI_BUF,ARI,,,
2016,4,2016_04_LA_ARI,ARI,,,
2016,5,2016_05_ARI_SF,ARI,,,
2016,6,2016_06_NYJ_ARI,ARI,,,
2016,7,2016_07_SEA_ARI,ARI,0.08710761032675733,0.15041534577038207,0.13208543897534078
2016,8,2016_08_ARI_CAR,ARI,0.0819697657152285,0.15329755128416653,0.1422721961909605
2016,10,2016_10_SF_ARI,ARI,0.07883123757670037,0.15286465085126608,0.14161082052958482
2016,11,2016_11_ARI_MIN,ARI,0.07099424698108908,0.14868492253360674,0.15053939195815627
2016,12,2016_12_ARI_ATL,ARI,0.07168869142553352,0.17194881142249563,0.14238721804511278
2016,13,2016_13_WAS_ARI,ARI,0.054500450553082135,0.16827408406355773,0.1572020328599276
2016,14,2016_14_ARI_MIA,ARI,0.05866149418780998,0.1761463287779077,0.14265176830966306
2016,15,2016_15_NO_ARI,ARI,0.06068578568578569,0.17985752985752987,0.15934673152415088
2016,16,2016_16_ARI_SEA,ARI,0.06453732630203218,0.16911990147284264,0.14140691670933606
2016,17,2016_17_ARI_LA,ARI,0.06861658038128626,0.180483537836479,0.13633636997212265
2017,1,2017_01_ARI_DET,ARI,,,
2017,2,2017_02_ARI_IND,ARI,,,
2017,3,2017_03_DAL_ARI,ARI,,,
2017,4,2017_04_SF_ARI,ARI,,,
2017,5,2017_05_ARI_PHI,ARI,,,
2017,6,2017_06_TB_ARI,ARI,,,
2017,7,2017_07_ARI_LA,ARI,0.05105807672706653,0.15286946193055367,0.14328158006318925
2017,9,2017_09_ARI_SF,ARI,0.05165616285146845,0.15526180642816131,0.13197205625366545
2017,10,2017_10_SEA_ARI,ARI,0.05027695263079481,0.16738433836776645,0.10323642406975742
2017,11,2017_11_ARI_HOU,ARI,0.06402754532875593,0.15505622077649095,0.09933452886351436
2017,12,2017_12_JAX_ARI,ARI,0.059462665763876356,0.16156360228387243,0.10405493554470537
2017,13,2017_13_LA_ARI,ARI,0.06797521056674376,0.16932943263034794,0.10910544059521042
2017,14,2017_14_TEN_ARI,ARI,0.06593716708848288,0.1684236355288987,0.10784281433258415
2017,15,2017_15_ARI_WAS,ARI,0.07625708452914336,0.1753895798013445,0.11049432948409932
2017,16,2017_16_NYG_ARI,ARI,0.06754897165436381,0.1677837596955244,0.12716099615076598
2017,17,2017_17_ARI_SEA,ARI,0.05211864771340157,0.139798327454773,0.12208853238265004
2018,1,2018_01_WAS_ARI,ARI,,,
2018,2,2018_02_ARI_LA,ARI,,,
2018,3,2018_03_CHI_ARI,ARI,,,
2018,4,2018_04_SEA_ARI,ARI,,,
2018,5,2018_05_ARI_SF,ARI,,,
2018,6,2018_06_ARI_MIN,ARI,,,
2018,7,2018_07_DEN_ARI,ARI,0.0783929520771626,0.15042530568846357,0.11981011490617753
2018,8,2018_08_SF_ARI,ARI,0.07713032581453634,0.1327485380116959,0.12006613129122617
2018,10,2018_10_ARI_KC,ARI,0.08843984962406015,0.1453973475355054,0.11837642314990514
2018,11,2018_11_OAK_ARI,ARI,0.09979175880878666,0.16216721337657872,0.13310293086379013
2018,12,2018_12_ARI_LAC,ARI,0.10693461595164382,0.1776434038527692,0.1484029902814966
2018,13,2018_13_ARI_GB,ARI,0.11434202335905123,0.1859767371861025,0.12618076805927436
2018,14,2018_14_DET_ARI,ARI,0.10006613756613757,0.1727328431372549,0.1395412753056512
2018,15,2018_15_ARI_ATL,ARI,0.09312169312169312,0.15884395424836603,0.13954127530565116
2018,16,2018_16_LA_ARI,ARI,0.08083536833536832,0.1352061337355455,0.13735091290023502
2018,17,2018_17_ARI_SEA,ARI,0.06914607723431253,0.12653343388637506,0.1051840694926705
2019,1,2019_01_DET_ARI,ARI,,,
2019,2,2019_02_ARI_BAL,ARI,,,
2019,3,2019_03_CAR_ARI,ARI,,,
2019,4,2019_04_SEA_ARI,ARI,,,
2019,5,2019_05_ARI_CIN,ARI,,,
2019,6,2019_06_ATL_ARI,ARI,,,
2019,7,2019_07_ARI_NYG,ARI,0.06474720454983612,0.12630434258723733,0.10568169225368851
2019,8,2019_08_ARI_NO,ARI,0.08533828982115395,0.1419697172642399,0.1075756316476279
2019,9,2019_09_SF_ARI,ARI,0.07679128127414542,0.14892658468622363,0.10461499075595253
2019,10,2019_10_ARI_TB,ARI,0.0692724842816642,0.15299926639048425,0.13687305527208157
2019,11,2019_11_ARI_SF,ARI,0.061259663768843696,0.15580375356997142,0.131649883382243
2019,13,2019_13_LA_ARI,ARI,0.06393060393978388,0.16381657408279196,0.14499847224570603
2019,14,2019_14_PIT_ARI,ARI,0.05878186252101957,0.14837034982649905,0.154998472245706
2019,15,2019_15_CLE_ARI,ARI,0.05050138331030779,0.12828578323030454,0.1560807233279571
2019,16,2019_16_ARI_SEA,ARI,0.05428926209818658,0.12035766483706985,0.13883934401761228
2019,17,2019_17_ARI_LA,ARI,0.07305144533405403,0.13083524768307375,0.15953826874879506
2020,1,2020_01_ARI_SF,ARI,,,
2020,2,2020_02_WAS_ARI,ARI,,,
2020,3,2020_03_DET_ARI,ARI,,,
2020,4,2020_04_ARI_CAR,ARI,,,
2020,5,2020_05_ARI_NYJ,ARI,,,
2020,6,2020_06_ARI_DAL,ARI,,,
2020,7,2020_07_SEA_ARI,ARI,0.07314118629908103,0.15612002980424033,0.06766754850088184
2020,9,2020_09_MIA_ARI,ARI,0.06566255382044855,0.1571884058726164,0.07211199294532629
2020,10,2020_10_BUF_ARI,ARI,0.06424772642939026,0.13822971883243532,0.0779453262786596
2020,11,2020_11_ARI_SEA,ARI,0.045200107381771215,0.12299162359434006,0.10263668430335098
2020,12,2020_12_ARI_NE,ARI,0.061329139639835724,0.1524888627689986,0.09848921886556294
2020,13,2020_13_LA_ARI,ARI,0.07124977456047064,0.15645711673725257,0.10920350457984866
2020,14,2020_14_ARI_NYG,ARI,0.06595006695813146,0.15737085942731105,0.12373954599761051
2020,15,2020_15_PHI_ARI,ARI,0.10120647721454172,0.18581637224782388,0.12243235645512686
2020,16,2020_16_SF_ARI,ARI,0.1050774449564772,0.1930206733230927,0.11189472204652469
2020,17,2020_17_ARI_LA,ARI,0.1250774449564772,0.206354006656426,0.08596879612059878
2021,1,2021_01_ARI_TEN,ARI,,,
2021,2,2021_02_MIN_ARI,ARI,,,
2021,3,2021_03_ARI_JAX,ARI,,,
2021,4,2021_04_ARI_LA,ARI,,,
2021,5,2021_05_SF_ARI,ARI,,,
2021,6,2021_06_ARI_CLE,ARI,,,
2021,7,2021_07_HOU_ARI,ARI,0.07627437869373353,0.17715348104805226,0.10938443432393825
2021,8,2021_08_GB_ARI,ARI,0.062268776452837175,0.1619807452870812,0.10130362624313018
2021,9,2021_09_ARI_SF,ARI,0.06160423631461282,0.1593225847341838,0.10003274752127106
2021,10,2021_10_CAR_ARI,ARI,0.06660924131961783,0.15742068283228192,0.11675166079190846
2021,11,2021_11_ARI_SEA,ARI,0.06660924131961783,0.15180136193319055,0.13927418331443098
2021,13,2021_13_ARI_CHI,ARI,0.07807877536979703,0.14750028666437334,0.13018897028184953
2021,14,2021_14_LA_ARI,ARI,0.06604173833276,0.1382410274051141,0.116218859820511
2021,15,2021_15_ARI_DET,ARI,0.07138933191564771,0.13393324368556567,0.10986965347130466
2021,16,2021_16_IND_ARI,ARI,0.0789081289081289,0.14615128879834763,0.1196735750399321
2021,17,2021_17_ARI_DAL,ARI,0.0715007215007215,0.1554105480576069,0.11462306998942706
2021,18,2021_18_SEA_ARI,ARI,0.075565762151128,0.16509490960710474,0.12151231217278691
2022,1,2022_01_KC_ARI,ARI,,,
2022,2,2022_02_ARI_LV,ARI,,,
2022,3,2022_03_LA_ARI,ARI,,,
2022,4,2022_04_ARI_CAR,ARI,,,
2022,5,2022_05_PHI_ARI,ARI,,,
2022,6,2022_06_ARI_SEA,ARI,,,
2022,7,2022_07_NO_ARI,ARI,0.05104400959664118,0.1540167191482981,0.10883221716555051
